squadra,nome_forum,titolarita_forum,media_voto_forum,salute_forum,bonus_forum,consiglio_esperti_forum,totale_forum,ruolo_testuale_forum,player_id
GEN,Johan VASQUEZ,9,7,9,7,7,39,"Dif Centrale/Braccetto sinistro, Titolare",5514
GEN,Brooke NORTON-CUFFY,8,6,7,6,6,33,"Difensore laterale, titolare (in partenza?)",6814
GEN,David PUCZKA,6,6,8,7,6,33,"Esterno, Ballottaggio",7413
GEN,Alessandro MARCANDALLI,8,6,9,4,6,33,"Dif Centrale/Braccetto destro, Titolare",6660
GEN,Mario MITAJ,7,6,7,4,6,30,"Esterno sx, Ballottaggio",7537
GEN,Stefano SABELLI,6,5,8,4,5,28,"Difensore laterale, Riserva",791
GEN,Aaron MARTIN,3,6,8,7,4,28,"Difensore laterale, fuori dal progetto",2593
GEN,Sebastian OTOA,5,5,8,5,4,27,"Dif Centrale, Riserva",6977
GEN,Mamedi DOUCOURE,4,5,8,6,4,27,"Braccetto dx, Riserva",
GEN,Luca KLYSIS,3,5,8,5,3,24,"Dif Centrale, Riserva",
GEN,Tommaso BALDANZI,7,7,7,7,7,35,"Mezz'ala, titolare",5823
GEN,Hamed Junior TRAORE,6,7,6,7,7,33,"Mezz'ala, titolare ( quando starà bene)",
GEN,Franz-Ethan MEICHTRY,6,6,8,7,6,33,"centrocampista/trequartista/ala/seconda punta, riserva/ ballottaggio",7409
GEN,Morten FRENDRUP,9,6,8,5,6,32,"Mediano, titolare",5791
GEN,Djibril SOW,7,7,7,5,6,32,"Centrocampista, Titolare",5946
GEN,Alexandro AMORIM,6,6,8,6,5,31,"Centrocampista, ballottaggio",7341
GEN,Mikael Egill ELLERTSSON,8,6,8,4,5,29,"Jolly, titolare",6020
GEN,Junior MESSIAS,5,7,4,7,5,28,"centrocampista, dipende dal fisico",4970
GEN,Partizio MASINI,5,6,7,4,4,26,"centrocampista, riserva",6917
GEN,Chec Bebel DOUMBIA,4,6,8,4,4,26,"centrocampista, riserva /possibile partente",
GEN,Lorenzo VENTURINO,4,6,6,5,4,25,"Ala, Riserva/in partenza",6980
GEN,Samuel WIAFE,4,6,8,4,3,25,"Centrocampista, Riserva",
GEN,Lorenzo COLOMBO,8,6,8,8,7,37,"Attaccante, titolare",4923
GEN,Vitor VITINHA,7,6,7,5,6,31,"Attaccante, titolare in ballottaggio",
GEN,Elias HAVEL,5,5,7,5,4,26,"Attaccante,  riserva",7453
INT,Federico DIMARCO,9,9,8,9,9,44,Esterno sinistro titolare,254
INT,Manuel AKANJI,9,8,8,6,9,40,Difensore centrale titolare - capace di giocare anche negli altri ruoli del terzetto,4159
INT,Alessandro BASTONI,9,8,8,6,8,39,Braccetto sinistro titolare,2120
INT,Yann Aurel BISSECK,7,8,8,7,7,37,Braccetto destro semi-titolare,6217
INT,Zopolato Neves CARLOS AUGUSTO,6,7,8,7,7,35,Esterno sinistro riserva / Braccetto sinistro riserva,5877
INT,John STONES,7,8,6,7,7,35,Braccetto destro semi-titolare,2514
INT,Benjamin Jacques Marcel PAVARD,5,7,7,6,5,30,Braccetto destro riserva,4177
INT,Hakan CALHANOGLU,9,9,6,9,9,42,"Regista/Mediano, titolare indiscusso",2194
INT,Piotr ZIELINSKI,8,8,7,8,8,39,"Mezzala e/o regista, tiene anche le chiavi di casa di Chivu",152
INT,Nicolò BARELLA,9,8,8,7,7,39,"Mezzala destra/Mediano, titolare indiscusso",1870
INT,Petar SUCIC,7,7,8,7,7,36,"Mezzala/Mediano/Trequartista, riserva jolly di centrocampo",7070
INT,Andy DIOUF,7,7,8,6,7,35,Esterno destro semi-titolare,6274
INT,Henrikh MKHITARYAN,6,7,8,7,6,34,"Mezzala sinistra/Trequartista rifinitore, titolare",2529
INT,Aleksandar STANKOVIC,6,7,8,6,6,33,Mediano riserva,6503
INT,Davide FRATTESI,5,6,7,7,5,31,"Mezzala destra/Trequartista Incursore d'area, riserva",2848
INT,Yanis MASSOLIN,5,7,6,6,4,28,Mezzala/trequartista riserva,
INT,Lautaro MARTINEZ,9,9,9,9,9,45,"Punta centrale, Titolare",2764
INT,Marcus THURAM,8,9,8,8,8,41,"Punta centrale, Titolare",4871
INT,Francesco Pio ESPOSITO,6,8,8,8,7,37,"Punta centrale, riserva",7071
INT,Ange-Yoan BONNY,6,8,8,8,6,36,"Attaccante, riserva",6669
JUV,Michele DI GREGORIO,7,7,9,8,8,39,"Portiere, titolare",5876
JUV,Mattia PERIN,5,7,8,8,5,33,"Portiere, riserva",218
JUV,Carlo PINSOGLIO,1,1,9,4,1,16,terzo Portiere / uomo spogliatoio,1930
JUV,Gleison BREMER,9,8,7,8,9,41,"Difensore centrale, titolare",2788
JUV,Pierre KALULU,8,8,8,6,8,38,"Terzino destro / Difensore centrale, titolare",4976
JUV,Andrea CAMBIASO,9,6,8,7,7,37,"Terzino sinistro, titolare",5520
JUV,Zeki CELIK,8,7,8,6,7,36,"Terzino destro, titolare",4657
JUV,Lloyd KELLY,7,7,7,5,7,33,"Difensore centrale / Terzino sinistro, titolare",6766
JUV,Federico GATTI,5,6,7,6,5,29,"Difensore centrale, riserva",5831
JUV,Daniele RUGANI,4,6,7,5,4,26,"Difensore centrale, riserva",294
JUV,Juan CABAL,4,6,5,5,4,24,"Terzino sinistro, riserva",6039
