squadra,nome,ruolo,quotazione_iniziale_2026_27,presenze_2025_26,pred_fantamedia,pred_voto,pred_gol,pred_assist,pred_bonus_netti,pred_presenze_previste,pred_presenze_titolare_previste,titolarita_forum_esperti,salute_forum_esperti,consiglio_forum_esperti,totale_forum_esperti
FIO,Fabbian,c,4.0,22,6.19,5.92,1.6,1.2,5.7,17.2,12.1,5.0,8.0,5.0,29.0
FIO,Ranieri L.,d,3.0,31,5.79,5.84,0.9,0.7,0.6,19.4,19.7,6.0,8.0,6.0,32.0
FIO,Joao Mario,d,3.0,14,5.84,5.84,0.4,0.7,0.9,15.1,11.2,6.0,8.0,5.0,32.0
FIO,Brescianini,c,3.0,18,6.11,5.91,1.8,0.8,5.0,16.2,10.1,5.0,8.0,5.0,29.0
FIO,Christensen O.,p,1.0,1,4.2,5.99,0.1,0.4,-9.8,8.3,6.7,,,,
FRO,Zerbin,c,5.0,29,5.94,5.84,1.1,1.2,1.5,19.5,12.8,8.0,8.0,7.0,36.0
FRO,Fini,c,3.0,1,5.79,5.73,0.6,0.5,2.1,14.9,9.5,4.0,7.0,5.0,26.0
GEN,Ostigard,d,11.0,30,6.18,5.94,1.9,1.0,5.5,26.4,3.4,9.0,9.0,8.0,41.0
GEN,Baldanzi,c,11.0,17,6.11,5.96,1.7,1.1,4.1,19.4,11.4,7.0,7.0,7.0,35.0
GEN,Colombo,a,11.0,37,6.34,5.96,6.6,1.5,13.5,27.0,20.6,8.0,8.0,7.0,37.0
GEN,Vasquez,d,9.0,36,5.92,5.92,1.1,0.6,0.6,29.5,25.3,9.0,9.0,7.0,39.0
GEN,Bijlow,p,8.0,16,4.85,6.09,0.3,0.3,-26.3,19.7,16.7,9.0,6.0,6.0,34.0
GEN,Norton-Cuffy,d,8.0,27,5.98,5.88,1.3,1.1,2.0,22.5,20.3,8.0,7.0,6.0,33.0
