stagione,player_id,nome_giocatore,squadra_sigla,ruolo_classic,ruolo_mantra,quotazione_iniziale,quotazione_attuale,fvm
2015-16,551,Molinaro,TOR,d,ds|cs,3.0,5.0,
2015-16,560,Obi,TOR,c,cs|m|cc,7.0,5.0,
2015-16,582,Gabriel Silva,GEN,d,ds|cs,5.0,5.0,
2015-16,611,Rafael,VER,p,por,9.0,5.0,
2015-16,625,Greco,VER,c,cc,5.0,5.0,
2015-16,655,Capel,GEN,c,w,11.0,5.0,
2015-16,695,Toloi,ATA,d,dc,7.0,5.0,
2015-16,710,Blaszczykowski,FIO,c,w,12.0,5.0,
2015-16,712,Lemina,JUV,c,m|cc,9.0,5.0,
2015-16,755,Lodi,UDI,c,cc,5.0,5.0,
2015-16,765,Ajeti,FRO,d,dd|dc,4.0,5.0,
2015-16,791,Sabelli,CAR,d,dd|cd,4.0,5.0,
2015-16,10,Cherubin,ATA,d,ds|dc,6.0,4.0,
2015-16,16,Raimondi,ATA,d,dd|cd,3.0,4.0,
2015-16,29,Migliaccio,ATA,c,m|cc,3.0,4.0,
2015-16,52,Oikonomou,BOL,d,ds|dc,6.0,4.0,
2015-16,78,Spolli,CHI,d,dc,6.0,4.0,
2015-16,101,Dainelli,CHI,d,dc,6.0,4.0,
2015-16,134,Barba,EMP,d,dc,6.0,4.0,
2015-16,166,Pasqual,FIO,d,ds|cs,9.0,4.0,
2015-16,194,Ciofani M,FRO,d,dd|ds|dc,2.0,4.0,
2015-16,196,Diakite',SAM,d,dc,5.0,4.0,
2015-16,198,Rosi,FRO,d,dd|cd,5.0,4.0,
2015-16,202,Chibsah,FRO,c,m|cc,6.0,4.0,
2015-16,223,Cissokho,GEN,d,dd|cd,3.0,4.0,
2015-16,232,Cofie,CAR,c,m|cc,3.0,4.0,
2015-16,233,Fetfatzidis,GEN,c,w|t,4.0,4.0,
2015-16,251,Andreolli,INT,d,dc,4.0,4.0,
2015-16,258,Montoya,INT,d,dd|cd,9.0,4.0,
2015-16,261,Ranocchia,SAM,d,dc,6.0,4.0,
2015-16,324,Hoedt,LAZ,d,dc,4.0,4.0,
2015-16,333,Cataldi,LAZ,c,cc,7.0,4.0,
2015-16,365,Zapata C.,MIL,d,dc,7.0,4.0,
2015-16,368,De Jong,MIL,c,m|cc,10.0,4.0,
2015-16,416,El Kaoutari,PAL,d,dc,7.0,4.0,
2015-16,417,Emerson P.,ROM,d,ds|cs,4.0,4.0,
2015-16,428,Benali,PAL,c,m|cc,4.0,4.0,
2015-16,434,Jajalo,PAL,c,m|cc,7.0,4.0,
2015-16,466,Marquinho,UDI,c,cs|cc|w,8.0,4.0,
2015-16,470,Strootman,ROM,c,m|cc,9.0,4.0,
2015-16,489,Moisander,SAM,d,dc,9.0,4.0,
2015-16,492,Silvestre,SAM,d,dc,7.0,4.0,
2015-16,498,Ivan,SAM,c,cc|t,1.0,4.0,
2015-16,549,Jansson,TOR,d,dc,2.0,4.0,
2015-16,550,Maksimovic,TOR,d,dd|ds|dc,9.0,4.0,
2015-16,564,Amauri,TOR,a,pc,10.0,4.0,
