stagione,giornata,squadra,forma3_punti_mean,forma3_gf_mean,forma3_gs_mean,forma3_xg_for_mean,forma3_xg_against_mean,forma3_n_partite,forma5_punti_mean,forma5_gf_mean,forma5_gs_mean,forma5_xg_for_mean,forma5_xg_against_mean,forma5_n_partite
2015-16,5,Torino,2.3333333333333335,2.3333333333333335,1.0,1.4273556455348928,1.1186955344552796,3,2.5,2.25,1.0,1.5702548364643008,1.0627988158958033,4
2015-16,5,Inter,3.0,1.3333333333333333,0.3333333333333333,2.1864312182491026,0.8591367009406289,3,3.0,1.25,0.25,1.8987533622421324,0.7394982010591775,4
2015-16,5,Atalanta,1.6666666666666667,1.6666666666666667,1.0,1.8007207835714023,0.9529807642102242,3,1.25,1.25,1.0,1.4456862630322576,0.9736655217129737,4
2015-16,5,Lazio,1.0,0.6666666666666666,3.0,1.0644586780108511,1.675283335459729,3,1.5,1.0,2.5,1.184353688498959,1.3520832774229348,4
2015-16,5,Palermo,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.1536274353663127,1.5955293619384368,3,1.75,1.5,1.25,1.2750313342548907,1.390999695053324,4
2015-16,5,Udinese,0.0,0.3333333333333333,1.6666666666666667,1.3933340813964605,0.9413153007626534,3,0.75,0.5,1.25,1.2617950038984418,1.1621138746850193,4
2015-16,5,Milan,2.0,1.6666666666666667,1.3333333333333333,1.0583849834899108,1.4093403657898307,3,1.5,1.25,1.5,0.940289112739265,1.5460061526391655,4
2015-16,5,Fiorentina,2.0,1.0,1.0,0.6848071329295635,0.9206674043089151,3,2.25,1.25,0.75,1.0026062279939651,0.8370009283535182,4
2015-16,5,Genoa,1.0,0.6666666666666666,1.0,1.0105384460960825,1.1266722980265815,3,0.75,0.5,1.0,0.9522565081715584,1.2548149812500924,4
2015-16,6,Sassuolo,1.6666666666666667,1.6666666666666667,1.3333333333333333,0.9693577752138177,1.1510052749266226,3,2.2,1.6,1.0,1.1673947099596262,0.9546606462448836,5
2015-16,6,Verona,0.6666666666666666,1.0,1.3333333333333333,0.8727426324039698,0.9041532448803385,3,0.6,0.8,1.4,0.8039844619110227,1.1816917113959788,5
2015-16,6,Chievo,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.6496186895916859,1.491271265471975,3,2.0,1.8,0.6,0.9318595496937633,1.3185160954482853,5
2015-16,6,Roma,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.6780437941973407,0.4891503128844003,3,1.6,1.6,1.2,1.4337449939921498,0.6639703716151416,5
2015-16,6,Bologna,1.0,0.3333333333333333,1.3333333333333333,0.5923725458172461,1.4824254208554823,3,0.6,0.4,1.4,0.46253154808655383,1.3503898241557182,5
2015-16,6,Sampdoria,2.0,1.3333333333333333,1.0,0.7651671338826418,1.4670322655389707,3,2.0,2.2,1.4,1.0127777840942145,1.7600727213546634,5
2015-16,6,Carpi,0.6666666666666666,0.6666666666666666,1.0,0.9239205028861761,0.9737338830406467,3,0.4,1.0,2.0,1.2623498247936369,1.5319501081481577,5
2015-16,6,Juventus,1.6666666666666667,1.3333333333333333,0.6666666666666666,2.3749652334178486,0.5145440722505251,3,1.0,1.0,1.0,1.984670160897076,0.6764562394469976,5
2015-16,6,Empoli,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.9003996880104145,0.9056280250661075,3,0.8,1.2,1.8,0.992437594011426,0.9689553785137832,5
